Implementation,MessageSize,NumThreads,Throughput_Gbps,Latency_us,TotalBytes,CPU_Cycles,Instructions,LLC_Misses,L1_Misses,ContextSwitches,TimeElapsed_sec
A1,256,1,3.04038,0.67,1280000,13445259,18475024,48091,0,2,6.032722778
A1,256,2,4.82564,0.42,1280000,34473639,55279947,107581,42229,4,6.037697197
A1,256,4,2.85316,0.72,1280000,80692819,142354198,167366,95676,4,6.035103023
A1,256,8,3.28205,0.62,1280000,163672988,246509751,279810,189220,7,6.029083622
A1,1024,1,10.18399,0.80,5120000,35466119,36216519,272316,98156,2,6.028949059
A1,1024,2,9.92729,0.83,5120000,29057367,37719835,83877,0,3,6.042044490
A1,1024,4,15.94395,0.51,5120000,69635497,87588412,296016,153774,3,6.036314585
A1,1024,8,11.74312,0.70,5120000,185599832,265522712,347469,389281,4,6.036221245
A1,4096,1,26.93408,1.22,20480000,47296933,43199484,385006,133815,2,6.039822492
A1,4096,2,39.28075,0.83,20480000,87429774,108352638,170361,446468,4,6.039995718
A1,4096,4,42.25948,0.78,20480000,150723683,185716319,337977,805432,5,6.034899816
A1,4096,8,31.30900,1.05,20480000,312424612,347990937,515084,1892391,11,6.036505880
A1,16384,1,55.01217,2.38,81920000,96778507,80256161,227704,1906161,3,6.034286565
A1,16384,2,57.79189,2.27,81920000,173090097,142492508,641179,3580952,6,6.036331730
A1,16384,4,53.76210,2.44,81920000,439397274,325931597,849654,8079184,14,6.030822554
A1,16384,8,14.83319,8.84,81920000,1433697510,511864245,3570756,15436826,122,6.040072280
A2,256,1,2.82016,0.73,1280000,31000160,43995005,81033,36330,4,6.032836741
A2,256,2,1.95420,1.05,1280000,82981096,84428770,508920,238311,2,6.037047321
A2,256,4,3.04490,0.67,1280000,93651667,137161747,312947,77959,7,6.035585941
A2,256,8,1.93353,1.06,1280000,233051137,326932429,143551,223729,11,6.056372834
A2,1024,1,6.87133,1.19,5120000,51259757,49234658,314740,149176,2,6.040340472
A2,1024,2,8.28647,0.99,5120000,83737078,98549782,133642,168817,5,6.033414724
A2,1024,4,12.27450,0.67,5120000,112922852,154697751,227870,216215,5,6.028273015
A2,1024,8,6.33076,1.29,5120000,276550440,345084252,282747,597803,31,6.044623676
A2,4096,1,25.38974,1.29,20480000,55436386,61356782,132763,250227,3,6.037955631
A2,4096,2,18.48584,1.77,20480000,142512781,125078709,458341,487796,3,6.036984600
A2,4096,4,31.12462,1.05,20480000,185842776,211257095,210972,922344,9,6.039418204
A2,4096,8,18.93229,1.73,20480000,450771960,436627111,411825,2247370,21,6.036278531
A2,16384,1,50.65780,2.59,81920000,106168703,85975140,244854,1908667,4,6.031202914
A2,16384,2,45.50479,2.88,81920000,208634114,175732240,297486,3922039,6,6.073268719
A2,16384,4,56.68714,2.31,81920000,412122925,352525251,581752,8132604,12,6.038095944
A2,16384,8,22.44076,5.84,81920000,1204466803,632564223,1579839,15065223,63,6.038464204
A3,256,1,0.68285,3.00,1280000,200385851,286553259,248532,540617,4690,6.035862776
A3,256,2,0.67770,3.02,1280000,405358357,621423059,244281,871879,9370,6.035390795
A3,256,4,0.50857,4.03,1280000,745013201,1109594624,519568,1964699,18755,6.034466588
A3,256,8,0.72118,2.84,1280000,1518821656,2110329946,594408,5449859,39560,6.043997256
A3,1024,1,2.57125,3.19,5120000,228857802,323477713,161703,870786,4676,6.035288045
A3,1024,2,3.01265,2.72,5120000,345559181,514541934,382763,1115208,9376,5.546123280
A3,1024,4,1.90167,4.31,5120000,958183842,1400086592,302208,1919524,19070,6.028493617
A3,1024,8,2.11712,3.87,5120000,1406978895,1864802645,579158,6077581,38189,6.030574240
A3,4096,1,8.81713,3.72,20480000,249534073,353224865,182509,569753,4685,6.036452157
A3,4096,2,8.30663,3.94,20480000,560658122,800715086,515538,1223216,9402,6.035901267
A3,4096,4,0.75292,43.52,20480000,1114620739,1647225283,315330,2154920,18346,6.036088347
A3,4096,8,7.23100,4.53,20480000,1666158940,2.36894e+09,725607,5442754,38077,6.036437242
A3,16384,1,31.81050,4.12,81920000,226164438,319072160,276298,2260402,4685,6.031877928
A3,16384,2,26.88987,4.87,81920000,734872334,982492130,431502,3654525,9362,6.032031746
A3,16384,4,26.49846,4.95,81920000,1210556301,1591660315,1150586,8156958,18800,6.039483730
A3,16384,8,20.87533,6.28,81920000,2.59115e+09,3.26959e+09,1300194,16857506,37629,6.032069828
