Implementation,MessageSize,NumThreads,Throughput_Mbps,Latency_us,TotalBytes,CPU_Cycles,Instructions,CacheMisses,L1_Misses,ContextSwitches,TimeElapsed_sec
A1,256,1,2946.76,0.69,256000,6,7,77,15,3,5.047391596
A1,256,2,1986.42,1.03,256000,15,16,135,51,2,5.536612692
A1,256,4,2190.37,0.94,256000,22,27,137,46,8,5.038944903
A1,256,8,2420.80,0.85,256000,44,56,171,66,18,5.539123002
A1,1024,1,7373.54,1.11,1024000,11,10,101,31,2,5.531123238
A1,1024,2,6907.25,1.19,1024000,16,20,100,45,3,5.539078499
A1,1024,4,6895.62,1.19,1024000,31,35,131,68,8,5.528543393
A1,1024,8,7427.02,1.10,1024000,58,66,164,132,20,5.539901157
A1,4096,1,19835.35,1.65,4096000,13,12,124,37,3,5.537745490
A1,4096,2,19931.87,1.64,4096000,26,21,266,86,6,5.534080648
A1,4096,4,30624.30,1.07,4096000,46,49,188,220,3,5.532613037
A1,4096,8,24272.59,1.35,4096000,88,86,283,496,20,5.536767162
A1,16384,1,36880.14,3.55,16384000,30,21,166,83,2,5.033591816
A1,16384,2,42037.20,3.12,16384000,58,47,194,999,4,5.524993193
A1,16384,4,36890.52,3.55,16384000,96,65,509,1,13,5.528914407
A1,16384,8,51461.33,2.55,16384000,189,142,238,3,10,5.530226984
A2,256,1,1915.81,1.07,256000,10,11,71,19,3,5.538359407
A2,256,2,1456.61,1.41,256000,23,21,176,76,2,5.526204754
A2,256,4,2117.89,0.97,256000,27,36,76,45,10,5.534060960
A2,256,8,2083.42,0.98,256000,56,67,122,84,11,5.542496483
A2,1024,1,5403.69,1.52,1024000,14,12,132,40,3,5.528275909
A2,1024,2,4757.26,1.72,1024000,28,24,131,93,3,5.530475381
A2,1024,4,7861.80,1.04,1024000,30,35,149,70,6,5.536077338
A2,1024,8,7320.82,1.12,1024000,55,59,343,148,9,5.528542071
A2,4096,1,15968.81,2.05,4096000,19,15,142,62,2,5.521913716
A2,4096,2,14840.58,2.21,4096000,16,15,51,0,2,5.533834544
A2,4096,4,24435.50,1.34,4096000,48,52,132,241,4,5.525645525
A2,4096,8,18897.35,1.73,4096000,102,96,393,416,32,5.535748424
A2,16384,1,39888.01,3.29,16384000,29,25,79,585,3,5.526801285
A2,16384,2,28018.81,4.68,16384000,74,54,438,215,3,5.536338984
A2,16384,4,50881.99,2.58,16384000,83,68,249,1,7,5.531663348
A2,16384,8,46794.72,2.80,16384000,204,144,425,3,43,5.536824734
A3,256,1,510.72,4.01,256000,132,176,246,289,4,5.538280767
A3,256,2,679.95,3.01,256000,273,344,454,742,9,5.529370504
A3,256,4,796.58,2.57,256000,363,459,554,1,18,5.531478234
A3,256,8,647.28,3.16,256000,736,905,521,3,37,5.536034433
A3,1024,1,2920.50,2.81,1024000,95,111,310,314,4,5.531696959
A3,1024,2,188.45,43.47,1024000,205,259,345,507,9,5.532345979
A3,1024,4,3110.10,2.63,1024000,410,498,528,1,18,5.539088684
A3,1024,8,2483.18,3.30,1024000,841,1001,750,3,37,5.531427783
A3,4096,1,706.05,46.41,4096000,183,201,430,342,4,5.532777729
A3,4096,2,8546.69,3.83,4096000,256,289,554,815,9,5.531742701
A3,4096,4,7488.12,4.38,4096000,468,595,726,1,18,5.533121991
A3,4096,8,10389.35,3.15,4096000,942,1014,1506,4,37,5.540395389
A3,16384,1,25008.97,5.24,16384000,122,148,200,883,4,5.521491303
A3,16384,2,20654.27,6.35,16384000,301,379,211,714,9,5.526055580
A3,16384,4,27699.07,4.73,16384000,866,1157,430,2,18,5.521216109
A3,16384,8,28352.15,4.62,16384000,762,927,865,5,37,5.530008677
